

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

40,Buy,4/16/2018 10:00,LE2,$3323.25,$0.00,1,$208.30,1.26%,$243.75,94.20%,,$0.35,$0.50
,Sell,4/18/2018 10:00,LX2,$3365.25,,$210.00,$2424.75,,($15.00),86.96%,81.16%,$0.35,$0.50
41,Buy,4/16/2018 10:15,LE3,$3323.00,$0.00,1,$209.55,1.27%,$245.00,98.99%,,$0.35,$0.50
,Sell,4/18/2018 10:00,LX3,$3365.25,,$211.25,$2634.30,,($2.50),86.36%,85.35%,$0.35,$0.50
42,Buy,4/24/2018 09:45,LE1,$3334.50,$0.00,1,($24.20),-0.13%,$13.75,25.58%,,$0.35,$0.50
,Sell,4/24/2018 10:15,LX1,$3330.00,,($22.50),$2610.10,,($40.00),32.56%,-41.86%,$0.35,$0.50
43,Buy,4/24/2018 10:00,LE2,$3333.75,$0.00,1,($20.45),-0.11%,$17.50,32.56%,,$0.35,$0.50
,Sell,4/24/2018 10:15,LX2,$3330.00,,($18.75),$2589.65,,($36.25),32.56%,-34.88%,$0.35,$0.50
44,Buy,4/27/2018 10:00,LE1,$3326.25,$0.00,1,($57.95),-0.34%,$15.00,16.67%,,$0.35,$0.50
,Sell,4/27/2018 11:15,LX1,$3315.00,,($56.25),$2531.70,,($75.00),20.83%,-62.50%,$0.35,$0.50
45,Buy,4/27/2018 10:15,LE2,$3320.75,$0.00,1,($30.45),-0.17%,$28.75,37.70%,,$0.35,$0.50
,Sell,4/27/2018 11:15,LX2,$3315.00,,($28.75),$2501.25,,($47.50),24.59%,-37.70%,$0.35,$0.50
46,Buy,4/27/2018 10:30,LE3,$3323.50,$0.00,2,($88.40),-0.26%,$27.50,18.33%,,$0.70,$1.00
,Sell,4/27/2018 11:15,LX3,$3315.00,,($85.00),$2412.85,,($122.50),25.00%,-56.67%,$0.70,$1.00
47,Buy,4/30/2018 09:45,LE1,$3328.50,$0.00,1,($51.70),-0.30%,$33.75,40.30%,,$0.35,$0.50
,Sell,4/30/2018 12:00,PosRiskLX,$3318.50,,($50.00),$2361.15,,($50.00),0.00%,-59.70%,$0.35,$0.50
48,Buy,4/30/2018 10:00,LE2,$3333.75,$0.00,1,($77.95),-0.46%,$7.50,8.96%,,$0.35,$0.50
,Sell,4/30/2018 12:00,PosRiskLX,$3318.50,,($76.25),$2283.20,,($76.25),0.00%,-91.04%,$0.35,$0.50
49,Buy,4/30/2018 10:15,LE3,$3331.00,$0.00,2,($128.40),-0.38%,$40.00,24.24%,,$0.70,$1.00
,Sell,4/30/2018 12:00,PosRiskLX,$3318.50,,($125.00),$2154.80,,($125.00),0.00%,-75.76%,$0.70,$1.00
50,Buy,5/2/2018 09:45,LE1,$3302.75,$0.00,1,($75.45),-0.45%,$46.25,38.14%,,$0.35,$0.50
,Sell,5/2/2018 16:00,LX1,$3288.00,,($73.75),$2079.35,,($75.00),1.03%,-60.82%,$0.35,$0.50
51,Buy,5/2/2018 10:00,LE2,$3300.75,$0.00,1,($65.45),-0.39%,$56.25,46.39%,,$0.35,$0.50
,Sell,5/2/2018 16:00,LX2,$3288.00,,($63.75),$2013.90,,($65.00),1.03%,-52.58%,$0.35,$0.50
52,Buy,5/2/2018 10:15,LE3,$3296.75,$0.00,2,($90.90),-0.27%,$152.50,62.89%,,$0.70,$1.00
,Sell,5/2/2018 16:00,LX3,$3288.00,,($87.50),$1923.00,,($90.00),1.03%,-36.08%,$0.70,$1.00
53,Buy,5/4/2018 13:45,LE1,$3310.25,$0.00,1,$58.30,0.36%,$85.00,97.14%,,$0.35,$0.50
,Sell,5/7/2018 04:00,LX1,$3322.25,,$60.00,$1981.30,,($2.50),71.43%,68.57%,$0.35,$0.50
54,Buy,5/4/2018 14:00,LE2,$3311.00,$0.00,1,$54.55,0.34%,$81.25,97.01%,,$0.35,$0.50
,Sell,5/7/2018 04:00,LX2,$3322.25,,$56.25,$2035.85,,($2.50),70.15%,67.16%,$0.35,$0.50
55,Buy,5/4/2018 14:15,LE3,$3315.00,$0.00,2,$69.10,0.22%,$122.50,73.13%,,$0.70,$1.00
,Sell,5/7/2018 04:00,LX3,$3322.25,,$72.50,$2104.95,,($45.00),70.15%,43.28%,$0.70,$1.00
56,Buy,5/9/2018 09:45,LE1,$3331.00,$0.00,1,$212.05,1.28%,$275.00,90.91%,,$0.35,$0.50
,Sell,5/11/2018 12:45,LX1,$3373.75,,$213.75,$2317.00,,($27.50),79.75%,70.66%,$0.35,$0.50
57,Buy,5/9/2018 10:00,LE2,$3332.25,$0.00,1,$205.80,1.25%,$268.75,88.84%,,$0.35,$0.50
,Sell,5/11/2018 12:45,LX2,$3373.75,,$207.50,$2522.80,,($33.75),79.75%,68.60%,$0.35,$0.50
58,Buy,5/9/2018 10:15,LE3,$3331.00,$0.00,2,$424.10,1.28%,$550.00,90.91%,,$0.70,$1.00
,Sell,5/11/2018 12:45,LX3,$3373.75,,$427.50,$2946.90,,($55.00),79.75%,70.66%,$0.70,$1.00
59,Buy,5/17/2018 11:15,LE1,$3384.50,$0.00,1,($41.70),-0.24%,$3.75,7.32%,,$0.35,$0.50
,Sell,5/17/2018 13:00,LX1,$3376.50,,($40.00),$2905.20,,($47.50),14.63%,-78.05%,$0.35,$0.50
60,Buy,5/17/2018 11:30,LE2,$3382.25,$0.00,2,($60.90),-0.17%,$5.00,6.45%,,$0.70,$1.00
,Sell,5/17/2018 13:00,LX2,$3376.50,,($57.50),$2844.30,,($72.50),19.35%,-74.19%,$0.70,$1.00
61,Buy,5/17/2018 11:45,LE3,$3382.25,$0.00,2,($60.90),-0.17%,$5.00,6.45%,,$0.70,$1.00
,Sell,5/17/2018 13:00,LX3,$3376.50,,($57.50),$2783.40,,($72.50),19.35%,-74.19%,$0.70,$1.00
62,Buy,5/21/2018 09:45,LE1,$3382.25,$0.00,1,($1.70),0.00%,$52.50,85.71%,,$0.35,$0.50
,Sell,5/21/2018 11:45,LX1,$3382.25,,$0.00,$2781.70,,($8.75),14.29%,0.00%,$0.35,$0.50
63,Buy,5/21/2018 10:00,LE2,$3389.25,$0.00,2,($73.40),-0.21%,$35.00,28.57%,,$0.70,$1.00
,Sell,5/21/2018 11:45,LX2,$3382.25,,($70.00),$2708.30,,($87.50),14.29%,-57.14%,$0.70,$1.00
64,Buy,5/21/2018 10:15,LE3,$3385.75,$0.00,2,($38.40),-0.10%,$70.00,57.14%,,$0.70,$1.00
,Sell,5/21/2018 11:45,LX3,$3382.25,,($35.00),$2669.90,,($52.50),14.29%,-28.57%,$0.70,$1.00
65,Buy,5/22/2018 09:45,LE1,$3392.00,$0.00,1,($21.70),-0.12%,$16.25,37.14%,,$0.35,$0.50
,Sell,5/22/2018 10:45,LX1,$3388.00,,($20.00),$2648.20,,($27.50),17.14%,-45.71%,$0.35,$0.50
66,Buy,5/22/2018 10:00,LE2,$3392.00,$0.00,2,($43.40),-0.12%,$25.00,31.25%,,$0.70,$1.00
,Sell,5/22/2018 10:45,LX2,$3388.00,,($40.00),$2604.80,,($55.00),18.75%,-50.00%,$0.70,$1.00
67,Buy,5/22/2018 10:15,LE3,$3392.00,$0.00,2,($43.40),-0.12%,$25.00,31.25%,,$0.70,$1.00
,Sell,5/22/2018 10:45,LX3,$3388.00,,($40.00),$2561.40,,($55.00),18.75%,-50.00%,$0.70,$1.00
68,Buy,6/1/2018 09:45,LE1,$3375.00,$0.00,1,$89.55,0.54%,$155.00,96.88%,,$0.35,$0.50
,Sell,6/5/2018 12:00,LX1,$3393.25,,$91.25,$2650.95,,($5.00),60.16%,57.03%,$0.35,$0.50
69,Buy,6/1/2018 10:00,LE2,$3379.50,$0.00,1,$67.05,0.41%,$132.50,85.48%,,$0.35,$0.50
,Sell,6/5/2018 12:00,LX2,$3393.25,,$68.75,$2718.00,,($22.50),58.87%,44.35%,$0.35,$0.50
70,Buy,6/1/2018 10:15,LE3,$3380.00,$0.00,2,$129.10,0.39%,$260.00,83.87%,,$0.70,$1.00
,Sell,6/5/2018 12:00,LX3,$3393.25,,$132.50,$2847.10,,($50.00),58.87%,42.74%,$0.70,$1.00
71,Buy,6/6/2018 09:45,LE1,$3408.50,$0.00,1,$73.30,0.44%,$123.75,77.95%,,$0.35,$0.50
,Sell,6/7/2018 11:00,LX1,$3423.50,,$75.00,$2920.40,,($35.00),69.29%,47.24%,$0.35,$0.50
72,Buy,6/6/2018 10:00,LE2,$3409.25,$0.00,2,$139.10,0.42%,$240.00,75.59%,,$0.70,$1.00
,Sell,6/7/2018 11:00,LX2,$3423.50,,$142.50,$3059.50,,($77.50),69.29%,44.88%,$0.70,$1.00
73,Buy,6/6/2018 10:15,LE3,$3404.75,$0.00,2,$184.10,0.55%,$285.00,89.76%,,$0.70,$1.00
,Sell,6/7/2018 11:00,LX3,$3423.50,,$187.50,$3243.60,,($32.50),69.29%,59.06%,$0.70,$1.00
74,Buy,6/12/2018 14:15,LE1,$3441.25,$0.00,1,($34.20),-0.19%,$0.00,0.00%,,$0.35,$0.50
,Sell,6/12/2018 14:45,LX1,$3434.75,,($32.50),$3209.40,,($35.00),7.14%,-92.86%,$0.35,$0.50
75,Buy,6/12/2018 14:30,LE2,$3438.50,$0.00,2,($40.90),-0.11%,$2.50,5.56%,,$0.70,$1.00
,Sell,6/12/2018 14:45,LX2,$3434.75,,($37.50),$3168.50,,($42.50),11.11%,-83.33%,$0.70,$1.00
76,Buy,6/14/2018 12:30,LE1,$3438.50,$0.00,1,($24.20),-0.13%,$11.25,31.03%,,$0.35,$0.50
,Sell,6/14/2018 15:15,LX1,$3434.00,,($22.50),$3144.30,,($25.00),6.90%,-62.07%,$0.35,$0.50
77,Buy,6/14/2018 12:45,LE2,$3436.25,$0.00,2,($25.90),-0.07%,$45.00,62.07%,,$0.70,$1.00
,Sell,6/14/2018 15:15,LX2,$3434.00,,($22.50),$3118.40,,($27.50),6.90%,-31.03%,$0.70,$1.00
78,Buy,6/14/2018 13:00,LE3,$3436.25,$0.00,2,($25.90),-0.07%,$45.00,62.07%,,$0.70,$1.00
,Sell,6/14/2018 15:15,LX3,$3434.00,,($22.50),$3092.50,,($27.50),6.90%,-31.03%,$0.70,$1.00
79,Buy,6/29/2018 10:00,LE1,$3387.00,$0.00,1,($19.20),-0.10%,$41.25,61.11%,,$0.35,$0.50
,Sell,6/29/2018 15:45,LX1,$3383.50,,($17.50),$3073.30,,($26.25),12.96%,-25.93%,$0.35,$0.50
80,Buy,6/29/2018 10:15,LE2,$3386.00,$0.00,1,($14.20),-0.07%,$46.25,68.52%,,$0.35,$0.50
,Sell,6/29/2018 15:45,LX2,$3383.50,,($12.50),$3059.10,,($21.25),12.96%,-18.52%,$0.35,$0.50
81,Buy,6/29/2018 10:30,LE3,$3385.00,$0.00,2,($18.40),-0.04%,$102.50,75.93%,,$0.70,$1.00
,Sell,6/29/2018 15:45,LX3,$3383.50,,($15.00),$3040.70,,($32.50),12.96%,-11.11%,$0.70,$1.00
82,Buy,7/3/2018 09:45,LE1,$3386.25,$0.00,1,($72.95),-0.42%,$7.50,9.52%,,$0.35,$0.50
,Sell,7/3/2018 12:45,PosRiskLX,$3372.00,,($71.25),$2967.75,,($71.25),0.00%,-90.48%,$0.35,$0.50
83,Buy,7/3/2018 10:00,LE2,$3384.50,$0.00,1,($64.20),-0.37%,$16.25,20.63%,,$0.35,$0.50
,Sell,7/3/2018 12:45,PosRiskLX,$3372.00,,($62.50),$2903.55,,($62.50),0.00%,-79.37%,$0.35,$0.50
84,Buy,7/3/2018 10:15,LE3,$3383.75,$0.00,2,($120.90),-0.35%,$25.00,17.54%,,$0.70,$1.00
,Sell,7/3/2018 12:45,PosRiskLX,$3372.00,,($117.50),$2782.65,,($117.50),0.00%,-82.46%,$0.70,$1.00
85,Buy,7/5/2018 09:45,LE1,$3379.25,$0.00,1,($21.70),-0.12%,$16.25,43.33%,,$0.35,$0.50
,Sell,7/5/2018 10:15,LX1,$3375.25,,($20.00),$2760.95,,($21.25),3.33%,-53.33%,$0.35,$0.50
86,Buy,7/5/2018 10:00,LE2,$3379.00,$0.00,1,($20.45),-0.11%,$5.00,20.00%,,$0.35,$0.50
,Sell,7/5/2018 10:15,LX2,$3375.25,,($18.75),$2740.50,,($20.00),5.00%,-75.00%,$0.35,$0.50
87,Buy,7/6/2018 10:00,LE1,$3391.50,$0.00,1,$238.30,1.42%,$280.00,94.51%,,$0.35,$0.50
,Sell,7/10/2018 14:00,LX1,$3439.50,,$240.00,$2978.80,,($16.25),86.50%,81.01%,$0.35,$0.50
88,Buy,7/6/2018 10:15,LE2,$3394.50,$0.00,1,$223.30,1.33%,$265.00,96.80%,,$0.35,$0.50
,Sell,7/10/2018 14:00,LX2,$3439.50,,$225.00,$3202.10,,($8.75),85.39%,82.19%,$0.35,$0.50
89,Buy,7/6/2018 10:30,LE3,$3395.75,$0.00,2,$434.10,1.29%,$517.50,95.39%,,$0.70,$1.00
,Sell,7/10/2018 14:00,LX3,$3439.50,,$437.50,$3636.20,,($25.00),85.25%,80.65%,$0.70,$1.00
