

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

,Sell,4/14/2020 03:00,% Trailing Stop,$11293.00,,$273.50,$3071.40,,($13.50),80.73%,76.93%,$0.35,$0.50
239,Buy,4/14/2020 09:00,BO_Long,$11301.75,$0.00,1,$392.30,1.74%,$492.50,95.82%,,$0.35,$0.50
,Sell,4/14/2020 15:00,% Trailing Stop,$11498.75,,$394.00,$3463.70,,($21.50),80.84%,76.65%,$0.35,$0.50
240,Buy,4/14/2020 19:00,BO_Long,$11545.25,$0.00,1,($251.70),-1.08%,$0.50,0.20%,,$0.35,$0.50
,Sell,4/15/2020 05:00,PosRiskLX,$11420.25,,($250.00),$3212.00,,($250.00),0.00%,-99.80%,$0.35,$0.50
241,Buy,4/16/2020 13:00,BO_Long,$11613.00,$0.00,1,($251.70),-1.08%,$24.00,6.65%,,$0.35,$0.50
,Sell,4/16/2020 15:00,PosRiskLX,$11488.00,,($250.00),$2960.30,,($337.00),24.10%,-69.25%,$0.35,$0.50
242,Buy,4/16/2020 19:00,BO_Long,$11719.25,$0.00,1,($251.70),-1.07%,$176.00,41.31%,,$0.35,$0.50
,Sell,4/17/2020 11:00,PosRiskLX,$11594.25,,($250.00),$2708.60,,($250.00),0.00%,-58.69%,$0.35,$0.50
243,Buy,4/23/2020 11:00,BO_Long,$11562.25,$0.00,1,($251.70),-1.08%,$128.50,33.95%,,$0.35,$0.50
,Sell,4/23/2020 16:00,PosRiskLX,$11437.25,,($250.00),$2456.90,,($250.00),0.00%,-66.05%,$0.35,$0.50
244,Sell Short,4/28/2020 13:00,BO_Short,$11557.50,$0.00,1,($43.70),-0.18%,$87.00,57.24%,,$0.35,$0.50
,Buy to Cover,4/28/2020 15:00,Trail_SX,$11578.50,,($42.00),$2413.20,,($65.00),15.13%,-27.63%,$0.35,$0.50
245,Sell Short,4/28/2020 16:00,BO_Short,$11506.25,$0.00,1,($183.70),-0.79%,$25.00,12.08%,,$0.35,$0.50
,Buy to Cover,4/28/2020 19:00,Trail_SX,$11597.25,,($182.00),$2229.50,,($182.00),0.00%,-87.92%,$0.35,$0.50
246,Buy,4/29/2020 15:00,BO_Long,$11799.50,$0.00,1,$252.80,1.08%,$318.50,81.04%,,$0.35,$0.50
,Sell,4/29/2020 19:00,% Trailing Stop,$11926.75,,$254.50,$2482.30,,($74.50),83.72%,64.76%,$0.35,$0.50
247,Buy,4/30/2020 03:00,BO_Long,$11958.50,$0.00,1,($251.70),-1.05%,$3.50,1.38%,,$0.35,$0.50
,Sell,4/30/2020 09:00,PosRiskLX,$11833.50,,($250.00),$2230.60,,($250.00),0.00%,-98.62%,$0.35,$0.50
248,Buy,5/4/2020 23:00,BO_Long,$11710.75,$0.00,1,$251.30,1.08%,$297.00,75.19%,,$0.35,$0.50
,Sell,5/6/2020 09:00,% Trailing Stop,$11837.25,,$253.00,$2481.90,,($98.00),88.86%,64.05%,$0.35,$0.50
249,Buy,5/7/2020 13:00,BO_Long,$11935.75,$0.00,1,$300.30,1.27%,$377.50,85.99%,,$0.35,$0.50
,Sell,5/11/2020 01:00,% Trailing Stop,$12086.75,,$302.00,$2782.20,,($61.50),82.80%,68.79%,$0.35,$0.50
250,Buy,5/11/2020 15:00,BO_Long,$12148.00,$0.00,1,($251.70),-1.03%,$74.50,22.96%,,$0.35,$0.50
,Sell,5/12/2020 15:00,PosRiskLX,$12023.00,,($250.00),$2530.50,,($250.00),0.00%,-77.04%,$0.35,$0.50
251,Buy,5/15/2020 16:00,BO_Long,$11985.75,$0.00,1,$239.30,1.01%,$301.50,73.09%,,$0.35,$0.50
,Sell,5/18/2020 09:00,% Trailing Stop,$12106.25,,$241.00,$2769.80,,($111.00),85.33%,58.42%,$0.35,$0.50
252,Buy,5/20/2020 07:00,BO_Long,$12245.25,$0.00,1,($176.70),-0.71%,$209.50,54.49%,,$0.35,$0.50
,Sell,5/21/2020 23:00,Trail_LX,$12157.75,,($175.00),$2593.10,,($175.00),0.00%,-45.51%,$0.35,$0.50
253,Buy,5/25/2020 07:00,BO_Long,$12342.25,$0.00,1,($134.70),-0.54%,$202.50,60.36%,,$0.35,$0.50
,Sell,5/26/2020 11:00,Trail_LX,$12275.75,,($133.00),$2458.40,,($133.00),0.00%,-39.64%,$0.35,$0.50
254,Buy,5/28/2020 13:00,BO_Long,$12355.50,$0.00,1,($236.20),-0.95%,$99.00,29.69%,,$0.35,$0.50
,Sell,5/28/2020 15:00,Trail_LX,$12238.25,,($234.50),$2222.20,,($234.50),0.00%,-70.31%,$0.35,$0.50
255,Buy,5/29/2020 16:00,BO_Long,$12382.75,$0.00,1,$247.30,1.01%,$311.50,62.55%,,$0.35,$0.50
,Sell,6/3/2020 03:00,% Trailing Stop,$12507.25,,$249.00,$2469.50,,($186.50),87.45%,50.00%,$0.35,$0.50
256,Buy,6/3/2020 07:00,BO_Long,$12529.00,$0.00,1,($229.70),-0.91%,$106.00,31.74%,,$0.35,$0.50
,Sell,6/4/2020 15:00,Trail_LX,$12415.00,,($228.00),$2239.80,,($228.00),0.00%,-68.26%,$0.35,$0.50
257,Buy,6/5/2020 11:00,BO_Long,$12596.75,$0.00,1,$238.30,0.95%,$300.00,87.72%,,$0.35,$0.50
,Sell,6/9/2020 03:00,% Trailing Stop,$12716.75,,$240.00,$2478.10,,($42.00),82.46%,70.18%,$0.35,$0.50
258,Buy,6/9/2020 13:00,BO_Long,$12787.75,$0.00,1,$329.80,1.30%,$331.50,94.04%,,$0.35,$0.50
,Sell,6/10/2020 15:00,% Trailing Stop,$12953.50,,$331.50,$2807.90,,($21.00),100.00%,94.04%,$0.35,$0.50
259,Buy,6/10/2020 16:00,BO_Long,$12928.50,$0.00,1,($235.20),-0.90%,$57.50,19.76%,,$0.35,$0.50
,Sell,6/11/2020 03:00,Trail_LX,$12811.75,,($233.50),$2572.70,,($233.50),0.00%,-80.24%,$0.35,$0.50
260,Buy,6/15/2020 19:00,BO_Long,$12654.00,$0.00,1,$320.80,1.27%,$403.50,94.06%,,$0.35,$0.50
,Sell,6/16/2020 11:00,% Trailing Stop,$12815.25,,$322.50,$2893.50,,($25.50),81.12%,75.17%,$0.35,$0.50
261,Sell Short,6/17/2020 23:00,BO_Short,$12746.50,$0.00,1,($91.20),-0.35%,$50.00,32.47%,,$0.35,$0.50
,Buy to Cover,6/18/2020 01:00,Trail_SX,$12791.25,,($89.50),$2802.30,,($104.00),9.42%,-58.12%,$0.35,$0.50
262,Buy,6/19/2020 05:00,BO_Long,$12919.25,$0.00,1,($251.70),-0.97%,$93.50,27.22%,,$0.35,$0.50
,Sell,6/19/2020 13:00,PosRiskLX,$12794.25,,($250.00),$2550.60,,($250.00),0.00%,-72.78%,$0.35,$0.50
263,Sell Short,6/21/2020 19:00,BO_Short,$12738.00,$0.00,1,($43.20),-0.16%,$86.50,65.53%,,$0.35,$0.50
,Buy to Cover,6/21/2020 21:00,Trail_SX,$12758.75,,($41.50),$2507.40,,($45.50),3.03%,-31.44%,$0.35,$0.50
264,Buy,6/22/2020 15:00,BO_Long,$12949.25,$0.00,1,$318.30,1.24%,$400.50,61.90%,,$0.35,$0.50
,Sell,6/23/2020 15:00,% Trailing Stop,$13109.25,,$320.00,$2825.70,,($246.50),87.56%,49.46%,$0.35,$0.50
265,Buy,7/5/2020 23:00,BO_Long,$13316.75,$0.00,1,$239.80,0.91%,$302.00,99.83%,,$0.35,$0.50
,Sell,7/6/2020 13:00,% Trailing Stop,$13437.50,,$241.50,$3065.50,,($0.50),80.00%,79.83%,$0.35,$0.50
266,Buy,7/6/2020 16:00,BO_Long,$13445.50,$0.00,1,($131.20),-0.48%,$205.00,61.29%,,$0.35,$0.50
,Sell,7/7/2020 15:00,Trail_LX,$13380.75,,($129.50),$2934.30,,($129.50),0.00%,-38.71%,$0.35,$0.50
267,Buy,7/8/2020 19:00,BO_Long,$13527.50,$0.00,1,($160.20),-0.59%,$147.00,48.12%,,$0.35,$0.50
,Sell,7/9/2020 11:00,Trail_LX,$13448.25,,($158.50),$2774.10,,($158.50),0.00%,-51.88%,$0.35,$0.50
268,Buy,7/9/2020 16:00,BO_Long,$13594.75,$0.00,1,$266.80,0.99%,$336.00,59.21%,,$0.35,$0.50
,Sell,7/12/2020 21:00,% Trailing Stop,$13729.00,,$268.50,$3040.90,,($231.50),88.11%,47.31%,$0.35,$0.50
269,Buy,7/12/2020 23:00,BO_Long,$13745.75,$0.00,1,$263.80,0.97%,$332.00,86.46%,,$0.35,$0.50
,Sell,7/13/2020 13:00,% Trailing Stop,$13878.50,,$265.50,$3304.70,,($52.00),82.68%,69.14%,$0.35,$0.50
270,Sell Short,7/22/2020 15:00,BO_Short,$13640.75,$0.00,1,($146.20),-0.53%,$4.50,2.47%,,$0.35,$0.50
,Buy to Cover,7/22/2020 16:00,Trail_SX,$13713.00,,($144.50),$3158.50,,($178.00),18.36%,-79.18%,$0.35,$0.50
271,Sell Short,7/30/2020 11:00,BO_Short,$13397.00,$0.00,1,($225.70),-0.84%,$56.50,18.08%,,$0.35,$0.50
,Buy to Cover,7/30/2020 13:00,Trail_SX,$13509.00,,($224.00),$2932.80,,($256.00),10.24%,-71.68%,$0.35,$0.50
272,Buy,8/2/2020 23:00,BO_Long,$13802.50,$0.00,1,$309.30,1.13%,$389.00,79.71%,,$0.35,$0.50
,Sell,8/5/2020 05:00,% Trailing Stop,$13958.00,,$311.00,$3242.10,,($99.00),84.02%,63.73%,$0.35,$0.50
273,Buy,8/5/2020 07:00,BO_Long,$13990.00,$0.00,1,($39.20),-0.13%,$293.50,63.32%,,$0.35,$0.50
,Sell,8/7/2020 13:00,Trail_LX,$13971.25,,($37.50),$3202.90,,($170.00),28.59%,-8.09%,$0.35,$0.50
274,Buy,8/12/2020 15:00,BO_Long,$14030.50,$0.00,1,($135.70),-0.48%,$177.50,51.75%,,$0.35,$0.50
,Sell,8/14/2020 11:00,Trail_LX,$13963.50,,($134.00),$3067.20,,($165.50),9.18%,-39.07%,$0.35,$0.50
275,Buy,8/17/2020 16:00,BO_Long,$14137.50,$0.00,1,$255.30,0.91%,$321.50,91.21%,,$0.35,$0.50
,Sell,8/18/2020 21:00,% Trailing Stop,$14266.00,,$257.00,$3322.50,,($31.00),81.70%,72.91%,$0.35,$0.50
276,Buy,8/19/2020 01:00,BO_Long,$14277.50,$0.00,1,($251.70),-0.88%,$27.50,9.91%,,$0.35,$0.50
,Sell,8/19/2020 15:00,PosRiskLX,$14152.50,,($250.00),$3070.80,,($250.00),0.00%,-90.09%,$0.35,$0.50
277,Buy,8/20/2020 16:00,BO_Long,$14327.25,$0.00,1,$396.30,1.39%,$497.50,78.84%,,$0.35,$0.50
,Sell,8/24/2020 09:00,% Trailing Stop,$14526.25,,$398.00,$3467.10,,($133.50),84.23%,63.07%,$0.35,$0.50
278,Buy,8/25/2020 16:00,BO_Long,$14568.75,$0.00,1,$412.80,1.42%,$518.50,99.04%,,$0.35,$0.50
,Sell,8/26/2020 15:00,% Trailing Stop,$14776.00,,$414.50,$3879.90,,($5.00),80.13%,79.18%,$0.35,$0.50
279,Buy,8/26/2020 16:00,BO_Long,$14818.50,$0.00,1,($121.70),-0.40%,$162.50,57.52%,,$0.35,$0.50
,Sell,8/27/2020 11:00,Trail_LX,$14758.50,,($120.00),$3758.20,,($120.00),0.00%,-42.48%,$0.35,$0.50
280,Buy,8/27/2020 13:00,BO_Long,$14872.00,$0.00,1,$366.30,1.24%,$460.50,55.58%,,$0.35,$0.50
,Sell,9/1/2020 09:00,% Trailing Stop,$15056.00,,$368.00,$4124.50,,($368.00),88.84%,44.42%,$0.35,$0.50
281,Buy,9/1/2020 15:00,BO_Long,$15123.25,$0.00,1,$312.30,1.04%,$392.50,93.12%,,$0.35,$0.50
,Sell,9/2/2020 07:00,% Trailing Stop,$15280.25,,$314.00,$4436.80,,($29.00),81.38%,74.50%,$0.35,$0.50
282,Sell Short,9/8/2020 07:00,BO_Short,$14139.00,$0.00,1,$268.80,0.96%,$270.50,68.39%,,$0.35,$0.50
,Buy to Cover,9/8/2020 09:00,% Trailing Stop,$14003.75,,$270.50,$4705.60,,($125.00),100.00%,68.39%,$0.35,$0.50
283,Sell Short,9/8/2020 16:00,BO_Short,$13919.25,$0.00,1,($22.20),-0.07%,$261.50,84.90%,,$0.35,$0.50
,Buy to Cover,9/8/2020 21:00,Trail_SX,$13929.50,,($20.50),$4683.40,,($46.50),8.44%,-6.66%,$0.35,$0.50
284,Sell Short,9/11/2020 11:00,BO_Short,$13993.00,$0.00,1,$321.80,1.16%,$404.50,62.28%,,$0.35,$0.50
,Buy to Cover,9/11/2020 15:00,% Trailing Stop,$13831.25,,$323.50,$5005.20,,($245.00),87.53%,49.81%,$0.35,$0.50
285,Sell Short,9/16/2020 16:00,BO_Short,$14101.50,$0.00,1,$270.30,0.96%,$272.00,71.39%,,$0.35,$0.50
,Buy to Cover,9/16/2020 23:00,% Trailing Stop,$13965.50,,$272.00,$5275.50,,($109.00),100.00%,71.39%,$0.35,$0.50
286,Sell Short,9/17/2020 01:00,BO_Short,$13984.25,$0.00,1,$86.80,0.32%,$231.00,78.04%,,$0.35,$0.50
,Buy to Cover,9/17/2020 05:00,Trail_SX,$13940.00,,$88.50,$5362.30,,($65.00),51.86%,29.90%,$0.35,$0.50
287,Sell Short,9/18/2020 13:00,BO_Short,$13819.00,$0.00,1,$334.80,1.22%,$336.50,87.97%,,$0.35,$0.50
,Buy to Cover,9/18/2020 13:00,% Trailing Stop,$13650.75,,$336.50,$5697.10,,($46.00),100.00%,87.97%,$0.35,$0.50
288,Sell Short,9/18/2020 15:00,BO_Short,$13711.00,$0.00,1,($159.20),-0.57%,$55.50,21.89%,,$0.35,$0.50
,Buy to Cover,9/18/2020 16:00,Trail_SX,$13789.75,,($157.50),$5537.90,,($198.00),15.98%,-62.13%,$0.35,$0.50
289,Sell Short,9/21/2020 05:00,BO_Short,$13694.75,$0.00,1,$30.30,0.12%,$240.00,96.58%,,$0.35,$0.50
,Buy to Cover,9/21/2020 09:00,Trail_SX,$13678.75,,$32.00,$5568.20,,($8.50),16.30%,12.88%,$0.35,$0.50
290,Sell Short,9/23/2020 16:00,BO_Short,$13687.50,$0.00,1,$6.30,0.03%,$192.00,86.29%,,$0.35,$0.50
,Buy to Cover,9/23/2020 21:00,Trail_SX,$13683.50,,$8.00,$5574.50,,($30.50),17.30%,3.60%,$0.35,$0.50
291,Buy,9/28/2020 16:00,BO_Long,$14225.50,$0.00,1,($194.20),-0.68%,$180.00,46.69%,,$0.35,$0.50
,Sell,9/30/2020 01:00,BO_LX,$14129.25,,($192.50),$5380.30,,($205.50),3.37%,-49.94%,$0.35,$0.50
292,Buy,9/30/2020 13:00,BO_Long,$14355.50,$0.00,1,($251.70),-0.87%,$72.50,22.48%,,$0.35,$0.50
,Sell,9/30/2020 15:00,PosRiskLX,$14230.50,,($250.00),$5128.60,,($250.00),0.00%,-77.52%,$0.35,$0.50
293,Buy,10/1/2020 07:00,BO_Long,$14410.25,$0.00,1,($251.70),-0.87%,$122.00,32.80%,,$0.35,$0.50
,Sell,10/2/2020 01:00,PosRiskLX,$14285.25,,($250.00),$4876.90,,($250.00),0.00%,-67.20%,$0.35,$0.50
294,Buy,10/7/2020 21:00,BO_Long,$14367.25,$0.00,1,$339.80,1.19%,$427.00,88.68%,,$0.35,$0.50
,Sell,10/9/2020 15:00,% Trailing Stop,$14538.00,,$341.50,$5216.70,,($54.50),82.24%,70.92%,$0.35,$0.50
295,Buy,10/9/2020 16:00,BO_Long,$14577.75,$0.00,1,$267.30,0.92%,$269.00,87.34%,,$0.35,$0.50
,Sell,10/12/2020 05:00,% Trailing Stop,$14712.25,,$269.00,$5484.00,,($39.00),100.00%,87.34%,$0.35,$0.50
296,Buy,10/12/2020 07:00,BO_Long,$14702.00,$0.00,1,$576.30,1.97%,$723.00,99.31%,,$0.35,$0.50
,Sell,10/12/2020 15:00,% Trailing Stop,$14991.00,,$578.00,$6060.30,,($5.00),80.08%,79.40%,$0.35,$0.50
297,Buy,10/13/2020 07:00,BO_Long,$15073.00,$0.00,1,($251.70),-0.83%,$85.00,25.37%,,$0.35,$0.50
,Sell,10/13/2020 09:00,PosRiskLX,$14948.00,,($250.00),$5808.60,,($250.00),0.00%,-74.63%,$0.35,$0.50
298,Sell Short,10/21/2020 21:00,BO_Short,$14491.50,$0.00,1,($93.70),-0.32%,$59.00,39.07%,,$0.35,$0.50
,Buy to Cover,10/22/2020 05:00,Trail_SX,$14537.50,,($92.00),$5714.90,,($92.00),0.00%,-60.93%,$0.35,$0.50
299,Sell Short,10/22/2020 13:00,BO_Short,$14448.25,$0.00,1,($145.70),-0.50%,$73.00,29.80%,,$0.35,$0.50
,Buy to Cover,10/22/2020 15:00,Trail_SX,$14520.25,,($144.00),$5569.20,,($172.00),11.43%,-58.78%,$0.35,$0.50
300,Sell Short,10/26/2020 05:00,BO_Short,$14424.50,$0.00,1,($93.70),-0.32%,$12.50,11.96%,,$0.35,$0.50
,Buy to Cover,10/26/2020 09:00,Trail_SX,$14470.50,,($92.00),$5475.50,,($92.00),0.00%,-88.04%,$0.35,$0.50
301,Sell Short,10/26/2020 13:00,BO_Short,$14345.25,$0.00,1,$128.80,0.45%,$271.00,86.44%,,$0.35,$0.50
,Buy to Cover,10/26/2020 15:00,Trail_SX,$14280.00,,$130.50,$5604.30,,($42.50),55.18%,41.63%,$0.35,$0.50
302,Sell Short,10/28/2020 09:00,BO_Short,$14307.25,$0.00,1,$277.30,0.98%,$279.00,93.47%,,$0.35,$0.50
,Buy to Cover,10/28/2020 09:00,% Trailing Stop,$14167.75,,$279.00,$5881.60,,($19.50),100.00%,93.47%,$0.35,$0.50
303,Sell Short,10/28/2020 11:00,BO_Short,$14169.75,$0.00,1,$127.80,0.46%,$283.00,96.42%,,$0.35,$0.50
,Buy to Cover,10/28/2020 15:00,Trail_SX,$14105.00,,$129.50,$6009.40,,($10.50),47.70%,44.12%,$0.35,$0.50
304,Sell Short,10/28/2020 16:00,BO_Short,$14004.25,$0.00,1,($134.20),-0.47%,$15.00,10.17%,,$0.35,$0.50
,Buy to Cover,10/28/2020 21:00,Trail_SX,$14070.50,,($132.50),$5875.20,,($132.50),0.00%,-89.83%,$0.35,$0.50
305,Sell Short,10/30/2020 03:00,BO_Short,$13937.50,$0.00,1,($104.70),-0.37%,$63.50,38.14%,,$0.35,$0.50
,Buy to Cover,10/30/2020 05:00,Trail_SX,$13989.00,,($103.00),$5770.50,,($103.00),0.00%,-61.86%,$0.35,$0.50
306,Sell Short,10/30/2020 13:00,BO_Short,$13871.25,$0.00,1,($109.20),-0.39%,$121.00,39.48%,,$0.35,$0.50
,Buy to Cover,10/30/2020 15:00,Trail_SX,$13925.00,,($107.50),$5661.30,,($185.50),25.45%,-35.07%,$0.35,$0.50
307,Sell Short,11/2/2020 15:00,BO_Short,$13814.75,$0.00,1,($243.20),-0.87%,$11.00,4.30%,,$0.35,$0.50
,Buy to Cover,11/2/2020 16:00,Trail_SX,$13935.50,,($241.50),$5418.10,,($245.00),1.37%,-94.34%,$0.35,$0.50
308,Buy,11/8/2020 21:00,BO_Long,$15155.50,$0.00,1,($251.70),-0.82%,$238.00,48.77%,,$0.35,$0.50
,Sell,11/9/2020 07:00,PosRiskLX,$15030.50,,($250.00),$5166.40,,($250.00),0.00%,-51.23%,$0.35,$0.50
309,Buy,11/11/2020 19:00,BO_Long,$14766.25,$0.00,1,$262.80,0.90%,$331.00,57.17%,,$0.35,$0.50
,Sell,11/15/2020 21:00,% Trailing Stop,$14898.50,,$264.50,$5429.20,,($248.00),88.51%,45.68%,$0.35,$0.50
310,Sell Short,11/18/2020 03:00,BO_Short,$14796.50,$0.00,1,($108.70),-0.36%,$0.00,0.00%,,$0.35,$0.50
,Buy to Cover,11/18/2020 05:00,BO_SX,$14850.00,,($107.00),$5320.50,,($158.50),32.49%,-67.51%,$0.35,$0.50
311,Sell Short,11/18/2020 11:00,BO_Short,$14794.50,$0.00,1,($141.20),-0.47%,$35.50,20.23%,,$0.35,$0.50
,Buy to Cover,11/18/2020 13:00,Trail_SX,$14864.25,,($139.50),$5179.30,,($140.00),0.28%,-79.49%,$0.35,$0.50
312,Buy,11/25/2020 19:00,BO_Long,$15034.75,$0.00,1,$267.80,0.90%,$279.00,76.97%,,$0.35,$0.50
,Sell,11/29/2020 19:00,% Trailing Stop,$15169.50,,$269.50,$5447.10,,($83.50),97.38%,74.34%,$0.35,$0.50
313,Buy,11/29/2020 21:00,BO_Long,$15148.50,$0.00,1,($240.20),-0.79%,$48.00,16.75%,,$0.35,$0.50
,Sell,11/30/2020 11:00,Trail_LX,$15029.25,,($238.50),$5206.90,,($238.50),0.00%,-83.25%,$0.35,$0.50
314,Buy,11/30/2020 19:00,BO_Long,$15194.00,$0.00,1,$294.30,0.97%,$370.00,92.27%,,$0.35,$0.50
,Sell,12/1/2020 15:00,% Trailing Stop,$15342.00,,$296.00,$5501.20,,($31.00),81.55%,73.82%,$0.35,$0.50
315,Buy,12/3/2020 11:00,BO_Long,$15361.25,$0.00,1,$286.30,0.94%,$360.00,77.84%,,$0.35,$0.50
,Sell,12/8/2020 21:00,% Trailing Stop,$15505.25,,$288.00,$5787.50,,($102.50),84.43%,62.27%,$0.35,$0.50
316,Buy,12/17/2020 03:00,BO_Long,$15575.50,$0.00,1,($123.70),-0.39%,$157.00,56.27%,,$0.35,$0.50
,Sell,12/18/2020 15:00,Trail_LX,$15514.50,,($122.00),$5663.80,,($122.00),0.00%,-43.73%,$0.35,$0.50
317,Buy,12/27/2020 21:00,BO_Long,$15602.25,$0.00,1,$287.30,0.93%,$361.50,98.23%,,$0.35,$0.50
,Sell,12/29/2020 09:00,% Trailing Stop,$15746.75,,$289.00,$5951.10,,($6.50),80.30%,78.53%,$0.35,$0.50
318,Buy,1/4/2021 03:00,BO_Long,$15755.75,$0.00,1,($124.70),-0.39%,$138.00,52.87%,,$0.35,$0.50
,Sell,1/4/2021 11:00,Trail_LX,$15694.25,,($123.00),$5826.40,,($123.00),0.00%,-47.13%,$0.35,$0.50
319,Sell Short,1/11/2021 16:00,BO_Short,$15761.50,$0.00,1,($93.70),-0.29%,$20.00,17.24%,,$0.35,$0.50
,Buy to Cover,1/12/2021 03:00,Trail_SX,$15807.50,,($92.00),$5732.70,,($96.00),3.45%,-79.31%,$0.35,$0.50
320,Sell Short,1/12/2021 11:00,BO_Short,$15755.50,$0.00,1,$11.80,0.04%,$247.50,77.10%,,$0.35,$0.50
,Buy to Cover,1/12/2021 15:00,Trail_SX,$15748.75,,$13.50,$5744.50,,($73.50),27.10%,4.21%,$0.35,$0.50
321,Buy,1/13/2021 21:00,BO_Long,$15861.75,$0.00,1,($251.70),-0.79%,$63.50,20.26%,,$0.35,$0.50
,Sell,1/14/2021 21:00,PosRiskLX,$15736.75,,($250.00),$5492.80,,($250.00),0.00%,-79.74%,$0.35,$0.50
322,Buy,1/21/2021 01:00,BO_Long,$16243.25,$0.00,1,$280.30,0.87%,$353.00,64.89%,,$0.35,$0.50
,Sell,1/25/2021 11:00,% Trailing Stop,$16384.25,,$282.00,$5773.10,,($191.00),86.95%,51.84%,$0.35,$0.50
323,Buy,1/26/2021 19:00,BO_Long,$16417.75,$0.00,1,($241.20),-0.73%,$67.50,21.99%,,$0.35,$0.50
,Sell,1/27/2021 07:00,Trail_LX,$16298.00,,($239.50),$5531.90,,($239.50),0.00%,-78.01%,$0.35,$0.50
324,Sell Short,1/31/2021 19:00,BO_Short,$15714.75,$0.00,1,($39.20),-0.12%,$246.50,86.80%,,$0.35,$0.50
,Buy to Cover,1/31/2021 21:00,Trail_SX,$15733.50,,($37.50),$5492.70,,($37.50),0.00%,-13.20%,$0.35,$0.50
325,Buy,2/4/2021 16:00,BO_Long,$16414.75,$0.00,1,$294.30,0.90%,$370.50,85.76%,,$0.35,$0.50
,Sell,2/9/2021 11:00,% Trailing Stop,$16562.75,,$296.00,$5787.00,,($61.50),82.75%,68.52%,$0.35,$0.50
326,Buy,2/9/2021 23:00,BO_Long,$16597.75,$0.00,1,($251.70),-0.75%,$72.50,22.48%,,$0.35,$0.50
,Sell,2/10/2021 11:00,PosRiskLX,$16472.75,,($250.00),$5535.30,,($250.00),0.00%,-77.52%,$0.35,$0.50
327,Buy,2/12/2021 13:00,BO_Long,$16605.00,$0.00,1,$254.80,0.77%,$321.00,83.92%,,$0.35,$0.50
,Sell,2/16/2021 03:00,% Trailing Stop,$16733.25,,$256.50,$5790.10,,($61.50),83.14%,67.06%,$0.35,$0.50
328,Sell Short,2/22/2021 13:00,BO_Short,$16187.50,$0.00,1,($92.20),-0.28%,$87.50,40.98%,,$0.35,$0.50
,Buy to Cover,2/22/2021 15:00,Trail_SX,$16232.75,,($90.50),$5697.90,,($126.00),16.63%,-42.39%,$0.35,$0.50
329,Sell Short,2/22/2021 16:00,BO_Short,$16092.25,$0.00,1,($87.20),-0.27%,$66.50,43.75%,,$0.35,$0.50
,Buy to Cover,2/22/2021 21:00,Trail_SX,$16135.00,,($85.50),$5610.70,,($85.50),0.00%,-56.25%,$0.35,$0.50
330,Sell Short,2/23/2021 07:00,BO_Short,$15846.00,$0.00,1,$356.30,1.13%,$358.00,72.62%,,$0.35,$0.50
,Buy to Cover,2/23/2021 09:00,% Trailing Stop,$15667.00,,$358.00,$5967.00,,($135.00),100.00%,72.62%,$0.35,$0.50
331,Sell Short,2/23/2021 11:00,BO_Short,$15749.75,$0.00,1,($183.20),-0.58%,$48.50,9.38%,,$0.35,$0.50
,Buy to Cover,2/23/2021 13:00,Trail_SX,$15840.50,,($181.50),$5783.80,,($468.50),55.51%,-35.11%,$0.35,$0.50
332,Sell Short,2/25/2021 13:00,BO_Short,$15854.00,$0.00,1,$300.30,0.95%,$302.00,84.59%,,$0.35,$0.50
,Buy to Cover,2/25/2021 13:00,% Trailing Stop,$15703.00,,$302.00,$6084.10,,($55.00),100.00%,84.59%,$0.35,$0.50
333,Sell Short,2/25/2021 15:00,BO_Short,$15772.75,$0.00,1,$327.80,1.04%,$329.50,59.53%,,$0.35,$0.50
,Buy to Cover,2/25/2021 19:00,% Trailing Stop,$15608.00,,$329.50,$6411.90,,($224.00),100.00%,59.53%,$0.35,$0.50
334,Sell Short,2/25/2021 21:00,BO_Short,$15638.00,$0.00,1,($29.70),-0.09%,$220.00,53.86%,,$0.35,$0.50
,Buy to Cover,2/26/2021 03:00,Trail_SX,$15652.00,,($28.00),$6382.20,,($188.50),39.29%,-6.85%,$0.35,$0.50
335,Sell Short,3/2/2021 19:00,BO_Short,$15925.75,$0.00,1,($152.20),-0.47%,$4.00,2.59%,,$0.35,$0.50
,Buy to Cover,3/2/2021 23:00,Trail_SX,$16001.00,,($150.50),$6230.00,,($150.50),0.00%,-97.41%,$0.35,$0.50
336,Sell Short,3/3/2021 11:00,BO_Short,$15769.50,$0.00,1,$7.80,0.03%,$167.00,56.04%,,$0.35,$0.50
,Buy to Cover,3/3/2021 13:00,Trail_SX,$15764.75,,$9.50,$6237.80,,($131.00),47.15%,3.19%,$0.35,$0.50
337,Sell Short,3/3/2021 15:00,BO_Short,$15635.50,$0.00,1,$298.80,0.96%,$300.50,96.31%,,$0.35,$0.50
,Buy to Cover,3/3/2021 19:00,% Trailing Stop,$15485.25,,$300.50,$6536.60,,($11.50),100.00%,96.31%,$0.35,$0.50
338,Sell Short,3/3/2021 21:00,BO_Short,$15509.00,$0.00,1,$98.30,0.32%,$266.50,86.11%,,$0.35,$0.50
