

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

,Sell,4/11/2018 11:30,LX1,$3299.50,,($85.00),$4564.90,,($142.50),39.66%,-58.62%,$0.70,$1.00
35,Buy,4/11/2018 11:15,LE2,$3297.00,$0.00,2,$21.60,0.08%,$32.50,50.00%,,$0.70,$1.00
,Sell,4/11/2018 11:30,LX2,$3299.50,,$25.00,$4586.50,,($32.50),88.46%,38.46%,$0.70,$1.00
36,Buy,4/12/2018 09:45,LE1,$3310.50,$0.00,2,($105.90),-0.31%,$235.00,69.63%,,$0.70,$1.00
,Sell,4/13/2018 15:30,PosRiskLX,$3300.25,,($102.50),$4480.60,,($102.50),0.00%,-30.37%,$0.70,$1.00
37,Buy,4/12/2018 10:00,LE2,$3317.75,$0.00,2,($178.40),-0.53%,$162.50,48.15%,,$0.70,$1.00
,Sell,4/13/2018 15:30,PosRiskLX,$3300.25,,($175.00),$4302.20,,($175.00),0.00%,-51.85%,$0.70,$1.00
38,Buy,4/12/2018 10:15,LE3,$3323.00,$0.00,2,($230.90),-0.68%,$110.00,32.59%,,$0.70,$1.00
,Sell,4/13/2018 15:30,PosRiskLX,$3300.25,,($227.50),$4071.30,,($227.50),0.00%,-67.41%,$0.70,$1.00
39,Buy,4/16/2018 09:45,LE1,$3328.75,$0.00,2,$361.60,1.10%,$432.50,82.38%,,$0.70,$1.00
,Sell,4/18/2018 10:00,LX1,$3365.25,,$365.00,$4432.90,,($92.50),87.14%,69.52%,$0.70,$1.00
40,Buy,4/16/2018 10:00,LE2,$3323.25,$0.00,2,$416.60,1.26%,$487.50,94.20%,,$0.70,$1.00
,Sell,4/18/2018 10:00,LX2,$3365.25,,$420.00,$4849.50,,($30.00),86.96%,81.16%,$0.70,$1.00
41,Buy,4/16/2018 10:15,LE3,$3323.00,$0.00,2,$419.10,1.27%,$490.00,98.99%,,$0.70,$1.00
,Sell,4/18/2018 10:00,LX3,$3365.25,,$422.50,$5268.60,,($5.00),86.36%,85.35%,$0.70,$1.00
42,Buy,4/24/2018 09:45,LE1,$3334.50,$0.00,2,($48.40),-0.13%,$27.50,25.58%,,$0.70,$1.00
,Sell,4/24/2018 10:15,LX1,$3330.00,,($45.00),$5220.20,,($80.00),32.56%,-41.86%,$0.70,$1.00
43,Buy,4/24/2018 10:00,LE2,$3333.75,$0.00,2,($40.90),-0.11%,$35.00,32.56%,,$0.70,$1.00
,Sell,4/24/2018 10:15,LX2,$3330.00,,($37.50),$5179.30,,($72.50),32.56%,-34.88%,$0.70,$1.00
44,Buy,4/27/2018 10:00,LE1,$3326.25,$0.00,2,($115.90),-0.34%,$30.00,16.67%,,$0.70,$1.00
,Sell,4/27/2018 11:15,LX1,$3315.00,,($112.50),$5063.40,,($150.00),20.83%,-62.50%,$0.70,$1.00
45,Buy,4/27/2018 10:15,LE2,$3320.75,$0.00,2,($60.90),-0.17%,$57.50,37.70%,,$0.70,$1.00
,Sell,4/27/2018 11:15,LX2,$3315.00,,($57.50),$5002.50,,($95.00),24.59%,-37.70%,$0.70,$1.00
46,Buy,4/27/2018 10:30,LE3,$3323.50,$0.00,4,($176.80),-0.26%,$55.00,18.33%,,$1.40,$2.00
,Sell,4/27/2018 11:15,LX3,$3315.00,,($170.00),$4825.70,,($245.00),25.00%,-56.67%,$1.40,$2.00
47,Buy,4/30/2018 09:45,LE1,$3328.50,$0.00,2,($103.40),-0.30%,$67.50,40.30%,,$0.70,$1.00
,Sell,4/30/2018 12:00,PosRiskLX,$3318.50,,($100.00),$4722.30,,($100.00),0.00%,-59.70%,$0.70,$1.00
48,Buy,4/30/2018 10:00,LE2,$3333.75,$0.00,2,($155.90),-0.46%,$15.00,8.96%,,$0.70,$1.00
,Sell,4/30/2018 12:00,PosRiskLX,$3318.50,,($152.50),$4566.40,,($152.50),0.00%,-91.04%,$0.70,$1.00
